cause_name,sex,age,deaths
Acute glomerulonephritis,Female,10 to 14,124.3952888
Acute glomerulonephritis,Female,15 to 19,102.616326
Acute glomerulonephritis,Female,20 to 24,118.1377629
Acute glomerulonephritis,Female,25 to 29,98.96779231
Acute glomerulonephritis,Female,30 to 34,94.63564318
Acute glomerulonephritis,Female,35 to 39,104.7344602
Acute glomerulonephritis,Female,40 to 44,115.1369855
Acute glomerulonephritis,Female,45 to 49,127.7694471
Acute glomerulonephritis,Female,05 to 09,125.5732964
Acute glomerulonephritis,Female,50 to 54,93.46442671
Acute glomerulonephritis,Female,55 to 59,128.5363265
Acute glomerulonephritis,Female,60 to 64,162.0926995
Acute glomerulonephritis,Female,65 to 69,169.5609167
Acute glomerulonephritis,Female,70 to 74,141.8653954
Acute glomerulonephritis,Female,75 to 79,126.0611818
Acute glomerulonephritis,Female,80 plus,211.0741435
Acute glomerulonephritis,Female,0 to 04,414.0817516
Acute glomerulonephritis,Male,10 to 14,150.554657
Acute glomerulonephritis,Male,15 to 19,99.49254528
Acute glomerulonephritis,Male,20 to 24,143.1249554
Acute glomerulonephritis,Male,25 to 29,127.6776889
Acute glomerulonephritis,Male,30 to 34,130.9574083
Acute glomerulonephritis,Male,35 to 39,154.2319686
Acute glomerulonephritis,Male,40 to 44,156.1281823
Acute glomerulonephritis,Male,45 to 49,212.4374402
Acute glomerulonephritis,Male,05 to 09,134.5163318
Acute glomerulonephritis,Male,50 to 54,141.013715
Acute glomerulonephritis,Male,55 to 59,182.8231242
Acute glomerulonephritis,Male,60 to 64,204.0588172
Acute glomerulonephritis,Male,65 to 69,199.089405
Acute glomerulonephritis,Male,70 to 74,172.3554102
Acute glomerulonephritis,Male,75 to 79,150.9366166
Acute glomerulonephritis,Male,80 plus,210.0603647
Acute glomerulonephritis,Male,0 to 04,550.5594022
Adverse effects of medical treatment,Female,10 to 14,73.5037046
Adverse effects of medical treatment,Female,15 to 19,174.0300003
Adverse effects of medical treatment,Female,20 to 24,235.5201474
Adverse effects of medical treatment,Female,25 to 29,1391.755466
Adverse effects of medical treatment,Female,30 to 34,1061.377055
Adverse effects of medical treatment,Female,35 to 39,689.2385757
Adverse effects of medical treatment,Female,40 to 44,1079.736666
Adverse effects of medical treatment,Female,45 to 49,794.9549953
Adverse effects of medical treatment,Female,05 to 09,102.4222951
Adverse effects of medical treatment,Female,50 to 54,696.5288062
Adverse effects of medical treatment,Female,55 to 59,2864.266368
Adverse effects of medical treatment,Female,60 to 64,1348.363001
Adverse effects of medical treatment,Female,65 to 69,1809.87068
Adverse effects of medical treatment,Female,70 to 74,1175.286567
Adverse effects of medical treatment,Female,75 to 79,567.374259
Adverse effects of medical treatment,Female,80 plus,1107.323532
Adverse effects of medical treatment,Female,0 to 04,3064.938438
Adverse effects of medical treatment,Male,10 to 14,210.0098848
Adverse effects of medical treatment,Male,15 to 19,227.2788713
Adverse effects of medical treatment,Male,20 to 24,559.7345587
Adverse effects of medical treatment,Male,25 to 29,711.6414572
Adverse effects of medical treatment,Male,30 to 34,305.2101908
Adverse effects of medical treatment,Male,35 to 39,769.5113648
Adverse effects of medical treatment,Male,40 to 44,840.1295625
Adverse effects of medical treatment,Male,45 to 49,896.044236
Adverse effects of medical treatment,Male,05 to 09,445.5982921
Adverse effects of medical treatment,Male,50 to 54,1052.193939
Adverse effects of medical treatment,Male,55 to 59,1158.870505
Adverse effects of medical treatment,Male,60 to 64,753.0924875
Adverse effects of medical treatment,Male,65 to 69,726.0109044
Adverse effects of medical treatment,Male,70 to 74,448.999528
Adverse effects of medical treatment,Male,75 to 79,716.2728356
Adverse effects of medical treatment,Male,80 plus,1252.078623
Adverse effects of medical treatment,Male,0 to 04,5409.871743
Alcohol use disorders,Female,10 to 14,NA
Alcohol use disorders,Female,15 to 19,57.29848689
Alcohol use disorders,Female,20 to 24,49.04824841
Alcohol use disorders,Female,25 to 29,46.07330015
Alcohol use disorders,Female,30 to 34,37.39147832
Alcohol use disorders,Female,35 to 39,43.99123073
Alcohol use disorders,Female,40 to 44,38.13758158
Alcohol use disorders,Female,45 to 49,36.33980042
Alcohol use disorders,Female,05 to 09,NA
Alcohol use disorders,Female,50 to 54,61.88602597
Alcohol use disorders,Female,55 to 59,91.26978595
Alcohol use disorders,Female,60 to 64,104.1784115
Alcohol use disorders,Female,65 to 69,125.171863
Alcohol use disorders,Female,70 to 74,35.75708309
Alcohol use disorders,Female,75 to 79,51.44369132
Alcohol use disorders,Female,80 plus,68.52995693
Alcohol use disorders,Female,0 to 04,NA
Alcohol use disorders,Male,10 to 14,NA
Alcohol use disorders,Male,15 to 19,53.52998424
Alcohol use disorders,Male,20 to 24,85.95166537
Alcohol use disorders,Male,25 to 29,244.933514
Alcohol use disorders,Male,30 to 34,295.0126186
Alcohol use disorders,Male,35 to 39,416.3491696
Alcohol use disorders,Male,40 to 44,439.7688969
Alcohol use disorders,Male,45 to 49,564.9992121
Alcohol use disorders,Male,05 to 09,NA
Alcohol use disorders,Male,50 to 54,329.8996879
Alcohol use disorders,Male,55 to 59,362.556459
Alcohol use disorders,Male,60 to 64,507.2239443
Alcohol use disorders,Male,65 to 69,521.4034329
Alcohol use disorders,Male,70 to 74,308.9658043
Alcohol use disorders,Male,75 to 79,365.7906977
Alcohol use disorders,Male,80 plus,477.8824818
Alcohol use disorders,Male,0 to 04,NA
Alzheimer disease and other dementias,Female,40 to 44,2.711729374
Alzheimer disease and other dementias,Female,45 to 49,35.8981077
Alzheimer disease and other dementias,Female,50 to 54,176.898487
Alzheimer disease and other dementias,Female,55 to 59,657.9022626
Alzheimer disease and other dementias,Female,60 to 64,1447.58411
Alzheimer disease and other dementias,Female,65 to 69,2401.585342
Alzheimer disease and other dementias,Female,70 to 74,4673.346005
Alzheimer disease and other dementias,Female,75 to 79,7810.911896
Alzheimer disease and other dementias,Female,80 plus,37242.0453
Alzheimer disease and other dementias,Male,40 to 44,2.814222616
Alzheimer disease and other dementias,Male,45 to 49,35.73874321
Alzheimer disease and other dementias,Male,50 to 54,206.7268767
Alzheimer disease and other dementias,Male,55 to 59,842.0148316
Alzheimer disease and other dementias,Male,60 to 64,1843.365569
Alzheimer disease and other dementias,Male,65 to 69,2900.652458
Alzheimer disease and other dementias,Male,70 to 74,5296.187716
Alzheimer disease and other dementias,Male,75 to 79,7939.996686
Alzheimer disease and other dementias,Male,80 plus,36821.07636
Animal contact,Female,10 to 14,888.2936032
Animal contact,Female,15 to 19,1223.205087
Animal contact,Female,20 to 24,841.2153065
Animal contact,Female,25 to 29,912.7676769
Animal contact,Female,30 to 34,719.9536677
Animal contact,Female,35 to 39,654.3773776
Animal contact,Female,40 to 44,1096.991055
Animal contact,Female,45 to 49,963.2636369
Animal contact,Female,05 to 09,1377.096776
Animal contact,Female,50 to 54,1452.13329
Animal contact,Female,55 to 59,1334.360351
Animal contact,Female,60 to 64,1554.015388
Animal contact,Female,65 to 69,1296.700656
Animal contact,Female,70 to 74,1112.466957
Animal contact,Female,75 to 79,573.4464803
Animal contact,Female,80 plus,1427.047616
Animal contact,Female,0 to 04,2559.49937
Animal contact,Male,10 to 14,1812.208005
Animal contact,Male,15 to 19,1569.443632
Animal contact,Male,20 to 24,1654.962575
Animal contact,Male,25 to 29,1792.308792
Animal contact,Male,30 to 34,2323.451243
Animal contact,Male,35 to 39,1361.289545
Animal contact,Male,40 to 44,2155.113324
Animal contact,Male,45 to 49,2610.551313
Animal contact,Male,05 to 09,1908.453625
Animal contact,Male,50 to 54,2016.710853
Animal contact,Male,55 to 59,2615.091755
Animal contact,Male,60 to 64,1979.89384
Animal contact,Male,65 to 69,1465.03416
Animal contact,Male,70 to 74,1138.412311
Animal contact,Male,75 to 79,986.8669878
