cause_name,sex,age,ylds
Acute glomerulonephritis,Female,10 to 14,28.07097434
Acute glomerulonephritis,Female,15 to 19,13.28356051
Acute glomerulonephritis,Female,20 to 24,10.00097703
Acute glomerulonephritis,Female,25 to 29,8.967867561
Acute glomerulonephritis,Female,30 to 34,7.74726186
Acute glomerulonephritis,Female,35 to 39,6.553770729
Acute glomerulonephritis,Female,40 to 44,6.424747333
Acute glomerulonephritis,Female,45 to 49,7.477159362
Acute glomerulonephritis,Female,05 to 09,36.78126143
Acute glomerulonephritis,Female,50 to 54,7.988190892
Acute glomerulonephritis,Female,55 to 59,8.089655197
Acute glomerulonephritis,Female,60 to 64,7.495055363
Acute glomerulonephritis,Female,65 to 69,6.414127103
Acute glomerulonephritis,Female,70 to 74,5.569227093
Acute glomerulonephritis,Female,75 to 79,4.143981985
Acute glomerulonephritis,Female,80 plus,3.769032225
Acute glomerulonephritis,Female,0 to 04,63.43770032
Acute glomerulonephritis,Male,10 to 14,39.61590537
Acute glomerulonephritis,Male,15 to 19,18.29841125
Acute glomerulonephritis,Male,20 to 24,14.09031619
Acute glomerulonephritis,Male,25 to 29,12.57302539
Acute glomerulonephritis,Male,30 to 34,10.89728665
Acute glomerulonephritis,Male,35 to 39,9.23193936
Acute glomerulonephritis,Male,40 to 44,9.289666998
Acute glomerulonephritis,Male,45 to 49,11.18877496
Acute glomerulonephritis,Male,05 to 09,51.67597378
Acute glomerulonephritis,Male,50 to 54,12.13625661
Acute glomerulonephritis,Male,55 to 59,12.36020802
Acute glomerulonephritis,Male,60 to 64,11.03103174
Acute glomerulonephritis,Male,65 to 69,8.601489716
Acute glomerulonephritis,Male,70 to 74,6.996874745
Acute glomerulonephritis,Male,75 to 79,4.839331631
Acute glomerulonephritis,Male,80 plus,4.089011693
Acute glomerulonephritis,Male,0 to 04,94.13456695
Adverse effects of medical treatment,Female,10 to 14,170.8814723
Adverse effects of medical treatment,Female,15 to 19,423.3803752
Adverse effects of medical treatment,Female,20 to 24,632.6572094
Adverse effects of medical treatment,Female,25 to 29,917.6773229
Adverse effects of medical treatment,Female,30 to 34,990.2845386
Adverse effects of medical treatment,Female,35 to 39,891.6445458
Adverse effects of medical treatment,Female,40 to 44,856.7455499
Adverse effects of medical treatment,Female,45 to 49,879.0192221
Adverse effects of medical treatment,Female,05 to 09,161.3983642
Adverse effects of medical treatment,Female,50 to 54,996.7977181
Adverse effects of medical treatment,Female,55 to 59,1167.170185
Adverse effects of medical treatment,Female,60 to 64,957.948159
Adverse effects of medical treatment,Female,65 to 69,779.9782192
Adverse effects of medical treatment,Female,70 to 74,668.1451385
Adverse effects of medical treatment,Female,75 to 79,500.5675248
Adverse effects of medical treatment,Female,80 plus,504.8484178
Adverse effects of medical treatment,Female,0 to 04,340.7064402
Adverse effects of medical treatment,Male,10 to 14,290.6803069
Adverse effects of medical treatment,Male,15 to 19,371.2451662
Adverse effects of medical treatment,Male,20 to 24,768.3741891
Adverse effects of medical treatment,Male,25 to 29,806.8345468
Adverse effects of medical treatment,Male,30 to 34,825.3755807
Adverse effects of medical treatment,Male,35 to 39,852.7728199
Adverse effects of medical treatment,Male,40 to 44,907.2525094
Adverse effects of medical treatment,Male,45 to 49,984.7093473
Adverse effects of medical treatment,Male,05 to 09,422.2274771
Adverse effects of medical treatment,Male,50 to 54,1015.785605
Adverse effects of medical treatment,Male,55 to 59,1018.12942
Adverse effects of medical treatment,Male,60 to 64,803.3703219
Adverse effects of medical treatment,Male,65 to 69,539.8341056
Adverse effects of medical treatment,Male,70 to 74,514.1243201
Adverse effects of medical treatment,Male,75 to 79,472.6455163
Adverse effects of medical treatment,Male,80 plus,434.9477347
Adverse effects of medical treatment,Male,0 to 04,431.1426956
Alcohol use disorders,Female,10 to 14,3029.675595
Alcohol use disorders,Female,15 to 19,22016.11528
Alcohol use disorders,Female,20 to 24,43546.2882
Alcohol use disorders,Female,25 to 29,40666.32093
Alcohol use disorders,Female,30 to 34,33569.0354
Alcohol use disorders,Female,35 to 39,28888.17248
Alcohol use disorders,Female,40 to 44,24705.1579
Alcohol use disorders,Female,45 to 49,20872.7511
Alcohol use disorders,Female,05 to 09,671.2242175
Alcohol use disorders,Female,50 to 54,16848.31623
Alcohol use disorders,Female,55 to 59,12501.22471
Alcohol use disorders,Female,60 to 64,7882.841762
Alcohol use disorders,Female,65 to 69,3767.043405
Alcohol use disorders,Female,70 to 74,1742.759304
Alcohol use disorders,Female,75 to 79,1061.521927
Alcohol use disorders,Female,80 plus,1019.013358
Alcohol use disorders,Female,0 to 04,670.4300632
Alcohol use disorders,Male,10 to 14,3934.931654
Alcohol use disorders,Male,15 to 19,47911.16773
Alcohol use disorders,Male,20 to 24,138762.6297
Alcohol use disorders,Male,25 to 29,171183.233
Alcohol use disorders,Male,30 to 34,168134.0252
Alcohol use disorders,Male,35 to 39,151354.3079
Alcohol use disorders,Male,40 to 44,129522.1288
Alcohol use disorders,Male,45 to 49,100659.0513
Alcohol use disorders,Male,05 to 09,776.8339791
Alcohol use disorders,Male,50 to 54,71389.53666
Alcohol use disorders,Male,55 to 59,51281.36051
Alcohol use disorders,Male,60 to 64,31573.97784
Alcohol use disorders,Male,65 to 69,15280.84726
Alcohol use disorders,Male,70 to 74,7387.586303
Alcohol use disorders,Male,75 to 79,3840.248066
Alcohol use disorders,Male,80 plus,3310.868482
Alcohol use disorders,Male,0 to 04,723.4011169
Alzheimer disease and other dementias,Female,40 to 44,270.8417042
Alzheimer disease and other dementias,Female,45 to 49,1562.9286
Alzheimer disease and other dementias,Female,50 to 54,4862.611169
Alzheimer disease and other dementias,Female,55 to 59,13221.84652
Alzheimer disease and other dementias,Female,60 to 64,23997.34657
Alzheimer disease and other dementias,Female,65 to 69,33989.9675
Alzheimer disease and other dementias,Female,70 to 74,51129.78267
Alzheimer disease and other dementias,Female,75 to 79,56764.245
Alzheimer disease and other dementias,Female,80 plus,149963.0997
Alzheimer disease and other dementias,Male,40 to 44,275.4615829
Alzheimer disease and other dementias,Male,45 to 49,1559.914065
Alzheimer disease and other dementias,Male,50 to 54,4705.58903
Alzheimer disease and other dementias,Male,55 to 59,12394.39137
Alzheimer disease and other dementias,Male,60 to 64,20439.59383
Alzheimer disease and other dementias,Male,65 to 69,24260.50052
